place_id,restaurant_name,address,latitude,longitude,restaurant_rating,user_rating_count,review_text,review_rating,review_time,author_name,area
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,"Devkota Sadak, Kathmandu 44600, Nepal",27.6922623,85.3364717,4.5,1180,The food was delicious and tasty. staff was very friendly and attentive. You can see 360 view from here most recommended place,5,2025-10-24T10:00:20.000207376Z,Kabir Bhattrai,Baneshwor
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,"Devkota Sadak, Kathmandu 44600, Nepal",27.6922623,85.3364717,4.5,1180,"Its honestly one of the prettiest spots I’ve been to in Kathmandu. The rooftop view is insane, you can literally see the whole city and even the mountains on a clear day. The vibe is super chill, the music is good, and it’s the kind of place you want to sit for hours just soaking it in.",5,2025-08-09T06:42:53.288050672Z,Nirajan Neupane,Baneshwor
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,"Devkota Sadak, Kathmandu 44600, Nepal",27.6922623,85.3364717,4.5,1180,"It was my first time visit @Drishya lounge and i felt very good and peaceful. It has a friendly, warm loving environment with quality service. I was very mesmerized with the roof top view with it's captivating beauty.",5,2025-05-22T10:26:00.123473Z,Kranti Dhakal,Baneshwor
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,"Devkota Sadak, Kathmandu 44600, Nepal",27.6922623,85.3364717,4.5,1180,"I had the pleasure of dining at Drishya Lounge today, and I can confidently say it was an exceptional experience from start to finish.

The food was absolutely fantastic! Every dish was expertly prepared, bursting with flavor, and beautifully presented. From the appetizers to the main course, each bite was a delightful experience. The ingredients felt fresh, and the seasoning was spot-on. The Chicken BBQ stood out as a true highlight — the balance of flavors was simply perfect.

The ambiance was equally impressive. The interior was stylish, with a cozy yet modern feel that made it perfect for both casual dining and special occasions. The lighting was just right, creating a relaxed atmosphere that made you feel instantly at ease. The staffs were attentive and friendly, ensuring we had everything we needed without being overbearing.

The only slight disappointment was the food stuffs quantity in relation to the price. However, this could likely be attributed to the prime location of the lounge, which naturally drives up operational and maintenance costs.

Overall, this restaurant offers a memorable dining experience that I would highly recommend. Whether you're looking for a great place for a date night, a family gathering, or a night out with friends, this spot checks all the boxes. I can’t wait to return!",5,2025-03-07T17:43:42.037954Z,Avishek Rouniyar,Baneshwor
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,"Devkota Sadak, Kathmandu 44600, Nepal",27.6922623,85.3364717,4.5,1180,"I recently visited Drishya Lounge, and I must say it exceeded my expectations! From the stylish interiors to the mouthwatering dishes, everything was spot on. Their food menu offers a great variety, and the drinks are perfectly mixed. If you're looking for the best restaurant in Kathmandu for a fun evening or a casual dining experience, this is the place to be. I searched for a restaurant near me, and I'm glad I found this gem! Can't wait to visit again.",5,2025-01-29T10:43:38.655406Z,Riya Subedi,Baneshwor
ChIJIZgdZLQZ6zkRi_m4LP4gt1E,Twenty Forty,"P82Q+GXJ, Main Road, Kathmandu 44600, Nepal",27.7013348,85.3398996,4.3,2179,"Super expensive, the menu was repetitive, not enough variety.
The staff are polite and friendly, however the food can be a lot better.
500+ for a frappe is excessive, don’t get me started on the momo platter.
Momo platter- 12 pieces of garbage, and there were more French fries than momo. What the hell was the momo drenched in Mayonnaise and strawberry jam/syrup???

Do better.",2,2025-11-25T13:07:40.609698718Z,Nistha Thapa,Baneshwor
ChIJIZgdZLQZ6zkRi_m4LP4gt1E,Twenty Forty,"P82Q+GXJ, Main Road, Kathmandu 44600, Nepal",27.7013348,85.3398996,4.3,2179,"I really loved going to twenty fourty. Probably would go there again. It is one of the best places to go with your friends. I liked the food too. I ordered a Mac and cheese and it tasted very good and creamy. No complaints on the food. The atmosphere was really good. The staff were responsive and understanding. The pricing is on the moderate side, but it pays off!! Definitely a good place for dinner dates. The ambiance in the evening is very good.",5,2026-01-09T13:50:40.748470140Z,Pii,Baneshwor
ChIJIZgdZLQZ6zkRi_m4LP4gt1E,Twenty Forty,"P82Q+GXJ, Main Road, Kathmandu 44600, Nepal",27.7013348,85.3398996,4.3,2179,"I recently visited 2040 Kathmandu, and I had a wonderful experience. The restaurant was very clean and they maintained great hygiene, which made the atmosphere comfortable and pleasant.
The food was the highlight of my visit. I tried the Mustang Aloo and Pepperoni Pizza, and the taste was amazing. The Mustang Aloo was full of flavor and really memorable, and the Pepperoni Pizza was delicious and perfectly prepared. I truly enjoyed every bite.
The service was also very nice and the staff were friendly and helpful. Overall, it was a great dining experience and I would definitely recommend this place to have really nice pepperoni pizza in Nepal specially.",5,2026-03-09T16:09:13.146829845Z,Kamal Jagari,Baneshwor
ChIJIZgdZLQZ6zkRi_m4LP4gt1E,Twenty Forty,"P82Q+GXJ, Main Road, Kathmandu 44600, Nepal",27.7013348,85.3398996,4.3,2179,"An industrial-chic space with a distinct garage vibe. The setting is visually interesting, but the culinary experience was simply 'okaish.' It feels like a reliable spot for a casual meet-up, but it hasn’t quite mastered the 'wow' factor just yet.",2,2026-03-24T13:32:39.477781814Z,Utsaha Panta,Baneshwor
ChIJIZgdZLQZ6zkRi_m4LP4gt1E,Twenty Forty,"P82Q+GXJ, Main Road, Kathmandu 44600, Nepal",27.7013348,85.3398996,4.3,2179,"Perfect place for refreshments with your loved ones. We had celebrated bday here, they had live music too. Food and ambience is quite good.",4,2025-12-10T11:01:53.428527378Z,Ankita Dangol,Baneshwor
