restaurant_name,review_count,avg_sentiment_score,positive_review_ratio,negative_review_ratio,avg_review_length,avg_subjectivity,area,restaurant_rating,user_rating_count
KaidaKo Coffee House,5,0.9390000000000001,1.0,0.0,64.0,0.6540698051948052,Koteshwor,4.7,264.0
Kathmandu Grill Restaurant & Wine Bar,5,0.98354,1.0,0.0,92.0,0.6780022484570104,New Road,4.7,2456.0
Kimbu Restro,5,0.8726,1.0,0.0,65.8,0.6888798701298702,Koteshwor,4.3,63.0
Koila Multi Cuisine Restaurant- Dovan Pool,5,0.6965399999999999,1.0,0.0,114.0,0.5606310039167182,Koteshwor,3.7,341.0
Korean Kini,5,0.94554,1.0,0.0,53.6,0.6451830206830207,New Road,4.1,126.0
Koyla Lounge & Bar,5,0.6528400000000001,0.8,0.2,60.8,0.6928528138528138,New Road,3.9,1059.0
Lazy Monk Restaurant and Bar,5,-0.021820000000000016,0.4,0.4,57.6,0.6293760683760684,New Road,4.3,44.0
Le Mirch by Exotic,5,0.9599,1.0,0.0,69.6,0.5414259259259259,New Road,4.2,81.0
Local Khana,5,0.8002800000000001,1.0,0.0,20.2,0.6816000000000001,Baneshwor,4.5,60.0
Local Sekuwa,5,0.6205,0.8,0.0,84.6,0.494872092710602,Baneshwor,4.0,1103.0
Lotus Restaurant & Bar,5,0.792,1.0,0.0,10.2,0.6302666666666668,Bhaktapur Durbar Square,4.2,22.0
MANTRA Baneshwor,5,0.8664400000000001,1.0,0.0,44.2,0.6406782106782107,Baneshwor,4.2,111.0
Maak Ara,8,0.9205875,1.0,0.0,68.625,0.6743145946067821,Baneshwor,4.4,776.0
Magar Dai Ko Cafe,5,0.47135999999999995,0.8,0.2,65.2,0.5351897675736962,Koteshwor,4.4,128.0
MagicBell Restro -New Baneshwor,5,0.8740600000000001,1.0,0.0,49.8,0.5033333333333333,Baneshwor,4.8,501.0
Masala Beads Café,5,0.8227800000000001,1.0,0.0,57.8,0.5891251526251526,New Road,4.2,254.0
Matina Cafe,5,0.6641199999999999,1.0,0.0,90.2,0.5160696248196248,Bhaktapur Durbar Square,3.2,103.0
Maven Cafe,5,0.5518599999999999,0.8,0.2,46.2,0.5838333333333334,Baneshwor,4.1,119.0
Mayur Restaurant,5,0.5705199999999999,0.8,0.2,85.4,0.5877268907563025,Bhaktapur Durbar Square,4.3,324.0
Mazaaj Restaurant & Sheesha Lounge,5,0.90568,1.0,0.0,66.8,0.6046049783549784,New Road,4.6,753.0
"Meraki Cafe,Restro & Bar | Restaurant in Thamel, Kathmandu",5,0.9212,1.0,0.0,114.4,0.5799640692640693,New Road,4.7,117.0
Mero Cafe,5,0.6876800000000001,1.0,0.0,30.2,0.6289285714285715,Baneshwor,4.7,74.0
Mi:loco Cafe' n Restaurant,5,0.76924,1.0,0.0,27.4,0.5851666666666666,Bhaktapur Durbar Square,4.0,89.0
Michael Grills (Mid-Baneshwor),6,0.8042166666666667,1.0,0.0,59.5,0.5797886989553657,Baneshwor,4.5,1939.0
Mid Point Restaurant.,5,0.66228,1.0,0.0,7.4,0.8306666666666667,Koteshwor,4.9,14.0
Momo's Villa & Cafe,5,0.76366,1.0,0.0,17.0,0.6110842490842491,Koteshwor,4.8,23.0
Monster Meal - Newroad,5,0.04685999999999999,0.6,0.4,46.8,0.6682164502164503,New Road,4.5,656.0
Mr Tea & Grill,5,0.016979999999999995,0.4,0.6,11.0,0.5633333333333334,Koteshwor,4.6,27.0
Mr. Bhakka,5,0.37173999999999996,0.6,0.2,26.6,0.5305544217687075,Koteshwor,4.3,37.0
Muglan Hotel & Thakali Restaurant,5,0.22182000000000004,0.6,0.4,42.6,0.7318055555555556,Bhaktapur Durbar Square,4.0,224.0
Mulchowk Restaurant,5,0.87834,1.0,0.0,45.0,0.5423587301587302,New Road,4.2,381.0
Munch N More Restaurant and Bar,5,0.89254,1.0,0.0,24.4,0.6833181818181819,Koteshwor,4.7,41.0
Namaste Restaurant,5,0.55788,0.8,0.2,50.4,0.6829188596491228,Bhaktapur Durbar Square,4.3,404.0
"Nepal Cloud Kitchen, New Road",1,0.9482,1.0,0.0,50.0,0.6714285714285715,New Road,4.5,2.0
Nepalaya Rooftop Restaurant,5,0.62216,0.8,0.2,31.6,0.7088571428571429,New Road,4.7,997.0
Nepali thali,5,0.67774,0.8,0.0,31.2,0.6670952380952382,Koteshwor,4.5,36.0
New Durbar Restro & Bar,4,0.52395,1.0,0.0,45.0,0.43846153846153846,New Road,4.8,10.0
New Food Restaurant,5,0.4952,0.8,0.2,86.4,0.587878688562899,New Road,3.9,201.0
New Orleans Cafe,5,0.89666,1.0,0.0,64.4,0.6563437314319668,New Road,4.2,1516.0
New Watshala Garden Restaurant,5,0.45716,0.8,0.2,28.4,0.6439333333333332,Bhaktapur Durbar Square,4.4,16.0
Newa Ghasa - Basantapur,5,0.46314,0.8,0.2,53.6,0.5537707016690974,New Road,4.1,216.0
Newa Lahana Bhaktapur & Hotel,5,0.1409,0.6,0.4,75.2,0.5835250337381916,Bhaktapur Durbar Square,4.2,65.0
Newa Lahana Newroad,5,0.87874,1.0,0.0,96.8,0.6224363533292104,New Road,4.4,89.0
"Newa Lahana, Kamaladi",5,0.35724,0.8,0.2,59.8,0.6360806277056277,New Road,3.6,29.0
Newa MoMo Restaurant,5,0.9164999999999999,1.0,0.0,55.8,0.6405189594356261,New Road,4.6,947.0
North Rooftop Restaurant,5,0.52268,0.8,0.2,62.2,0.6210357142857144,Bhaktapur Durbar Square,4.1,70.0
Offline Cafe,5,0.9167400000000001,1.0,0.0,38.6,0.5717027417027417,Koteshwor,4.8,39.0
Oktobeer,5,0.84038,1.0,0.0,53.4,0.6221073031906366,Baneshwor,4.2,150.0
Old Town Food: Best Late-Night Food in Bhaktapur,5,0.5635600000000001,0.8,0.2,54.6,0.5643068783068783,Bhaktapur Durbar Square,3.9,402.0
Om Veg Momo,5,0.8019400000000001,1.0,0.0,57.0,0.660969696969697,New Road,4.9,82.0
PAT'S STATION RESTAURANT AND BAR,5,0.88362,1.0,0.0,26.6,0.6898560606060606,Koteshwor,4.3,25.0
Pahichan Tha Identity Cafe and Restro,5,0.75998,1.0,0.0,16.2,0.6695555555555555,Koteshwor,4.0,21.0
Parpala Bistro & Cafe,6,0.5488333333333334,0.8333333333333334,0.16666666666666666,41.833333333333336,0.5595328282828284,Baneshwor,4.0,377.0
Peaceful Korean Restaurant,5,0.93334,1.0,0.0,70.2,0.5478550470693329,Bhaktapur Durbar Square,4.3,165.0
Pink Putali Restaurant & Bar,5,0.8051,1.0,0.0,32.2,0.5250569985569985,Baneshwor,4.8,87.0
Pizza World Baneshwor,5,0.94034,1.0,0.0,45.6,0.6024181818181817,Baneshwor,4.5,114.0
Pong Restaurant,5,0.47428,0.8,0.2,45.2,0.5450178062678063,Baneshwor,4.1,42.0
Portobello guest house,5,0.64714,1.0,0.0,4.8,0.7393333333333334,Koteshwor,4.5,24.0
Restaurant Tusa,5,0.78036,0.8,0.0,146.6,0.5267681116722784,Bhaktapur Durbar Square,4.6,150.0
Resunga Family Bhojanalaya,5,0.06935999999999998,0.6,0.4,43.2,0.5427777777777778,Koteshwor,4.1,468.0
Revolution Cafe,5,0.92746,1.0,0.0,76.4,0.5756742799683976,New Road,4.1,596.0
Riva Grill House,5,0.19512000000000002,0.6,0.4,49.8,0.5594742063492063,Baneshwor,4.4,28.0
Roadhouse Cafe,5,0.9642,1.0,0.0,76.0,0.5809023903187189,New Road,4.5,3531.0
Roadhouse Cafe- Battisputali,5,0.57812,0.8,0.2,44.8,0.6021908091908093,Baneshwor,4.4,239.0
SUNDOWN by Karma KTM,5,0.94062,1.0,0.0,50.6,0.6410291486291486,New Road,4.2,1025.0
Sakotha Woh-Chatamari Fast Food,5,0.7938,1.0,0.0,52.2,0.7317566137566137,Bhaktapur Durbar Square,4.6,24.0
