place_id,restaurant_name,address,latitude,longitude,restaurant_rating,user_rating_count,area,competitor_count_500m,nearest_competitor_distance,avg_competitor_rating_500m,avg_competitor_reviews_500m,distance_to_bus_stop,distance_to_school,distance_to_office,restaurant_type,price_level
ChIJg46X5o8Z6zkREkj7a26YfNk,Hunger End Thakali Kitchen and Rooftop Restaurant,"27 Kanti Path, Kathmandu 44600, Nepal",27.7093357,85.314537,4.5,80.0,New Road,15,269.9356899139625,4.493333333333334,804.4,111.9507819781346,254.1663908115676,405.1146167961949,restaurant,
ChIJgav3eu4Z6zkRT5NMXPCu-Eo,Go Foodie Cafe,"M8QP+4J4, Kathmandu 44600, Nepal",27.6877706,85.3365646,4.9,14.0,Baneshwor,17,95.36257231588802,4.170588235294118,585.0588235294117,55.16853569540558,208.46513547367243,240.19004153624408,family_restaurant,
ChIJge5XWKMZ6zkR9uAnHXSfc8I,Hukum Restro,"377 Devkota Sadak, Kathmandu 44600, Nepal",27.6915307,85.33594529999999,4.1,16.0,Baneshwor,24,14.702620040378614,4.179166666666666,309.0833333333333,127.44722456624493,345.6739725893308,97.76055478688276,restaurant,
ChIJgy0Xh5wZ6zkRisKM7LdnyNQ,Siddhartha Foodland,"P82R+XHP, Kathmandu 44600, Nepal",27.7008467,85.34238140000001,3.9,644.0,Baneshwor,20,127.16202518839523,4.14,531.45,634.9442463336904,73.46467588290449,191.65641882449265,fast_food_restaurant,PRICE_LEVEL_MODERATE
ChIJh5FX3a8Z6zkR-TMcfFAjh9Q,Chez Caroline,"Tanka Prasad Ghumti Sadak, काठमाडौँ 44600, Nepal",27.6944836,85.3226619,4.5,684.0,Baneshwor,1,23.075281787498955,4.2,381.0,149.38070252590353,199.33732415126312,302.6515356105363,restaurant,PRICE_LEVEL_VERY_EXPENSIVE
ChIJh73DwEMZ6zkROPTv2LhrgQw,Newa Ghasa - Basantapur,"Gangalal Marg, Kathmandu 44600, Nepal",27.7060268,85.3067538,4.1,216.0,New Road,10,110.73826394192947,4.11,336.1,737.922860315372,700.4160683996741,317.6921058561055,asian_restaurant,
ChIJhTS7PqIZ6zkRG5qgJP465Mk,Tahina Terrace,"Manakamana Marg, Kathmandu 44600, Nepal",27.7126824,85.3244698,4.6,46.0,New Road,0,667.5969504194012,0.0,0.0,110.69079611985354,414.8621224182869,252.3096166488021,restaurant,
ChIJhVJq6-IY6zkRAcY456Xoiso,Kathmandu Grill Restaurant & Wine Bar,"Chaksibari Marg, Kathmandu 44600, Nepal",27.7162317,85.3098124,4.7,2456.0,New Road,20,51.17548208165071,4.595000000000001,1089.25,306.24353573601275,186.25890978748487,16.221069883209314,bar_and_grill,PRICE_LEVEL_MODERATE
ChIJhwhFcQAZ6zkRasNn5xv0bSg,Maak Ara,"Kathmandu 44600, Nepal",27.688539,85.333185,4.4,776.0,Baneshwor,16,64.19948722846766,4.2125,295.25,150.83881090949896,184.3283370335037,59.25652636174095,restaurant,
ChIJi5aM4-gZ6zkRMfiabJrRtc0,Korean Kini,"Ombahal, काठमाडौँ 44600, Nepal",27.7015526,85.30774249999999,4.1,126.0,New Road,14,83.36770493838674,4.164285714285714,249.78571428571428,579.3472504971571,201.88509795393827,220.3917223918319,korean_restaurant,
ChIJiwBJWG4Z6zkRxWAyrzZaK4U,Thakkhola Thakali Cuisine New Baneshwor,"Madan Bhandari Path, Kathmandu 44617, Nepal",27.6881305,85.3340005,3.9,969.0,Baneshwor,15,25.22943634275988,4.2,303.1333333333333,86.58564287117211,100.65803718524973,23.705215650577703,restaurant,
ChIJjZmBR-wZ6zkR5in4VQZnD3E,Hard Rock Cafe Kathmandu,"Hard Rock Cafe, Sherpa Mall, Durbar Marg, Kathmandu 44600, Nepal",27.710545,85.31786389999999,4.5,1293.0,New Road,7,66.39368558821471,4.357142857142857,423.4285714285714,286.78586043461195,318.32713962729173,77.5103294251679,american_restaurant,
ChIJlV3RUAAZ6zkRFuKoyeroIPY,Dalle Momo - Newroad,"P835+WPW, Kathmandu 44600, Nepal",27.7048423,85.3092341,3.8,122.0,New Road,18,120.18740619278556,4.222222222222222,241.8333333333333,495.6710921647864,475.7600220077032,121.36825534812702,family_restaurant,
ChIJp-0DYQAZ6zkR_KIxJe3tVlg,House of Thakali,"Kathmandu 44600, Nepal",27.7037368,85.3409416,4.3,566.0,Baneshwor,7,39.14191209076432,4.1,835.7142857142857,511.6393438323447,72.98218210166118,141.93135079932523,restaurant,
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,Vertigo BBQ,"M8PP+R5, Kathmandu 44600, Nepal",27.68712,85.33547639999999,4.4,485.0,Baneshwor,14,87.64145244584866,4.2,355.7857142857143,122.89184652884244,98.74640075690868,191.06511628555444,barbecue_restaurant,
